"ID"	"Gene.title"	"Gene.symbol"	"Gene.ID"	"UniGene.title"	"UniGene.symbol"	"UniGene.ID"	"Nucleotide.Title"	"GI"	"GenBank.Accession"	"Platform_CLONEID"	"Platform_ORF"	"Platform_SPOTID"	"Chromosome.location"	"Chromosome.annotation"	"GO.Function"	"GO.Process"	"GO.Component"	"GO.Function.ID"	"GO.Process.ID"	"GO.Component.ID"	"acute.control"	"control.latent"	"control.chronic"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"	"logFC"	"rank_by_logFC"
31038	"PDZ binding kinase"	"Pbk"	"290326"	"PDZ binding kinase"	"Pbk"	"Rn.137333"	"UI-R-BS2-bey-h-05-0-UI.s1 UI-R-BS2 Rattus norvegicus cDNA clone UI-R-BS2-bey-h-05-0-UI 3-, mRNA sequence"	"11383347"	"BF398358"	NA	NA	""	"15p12"	"Chromosome 15, NC_005114.4 (42489257..42500377)"	"ATP binding///protein serine/threonine kinase activity///protein serine/threonine kinase activity"	"cellular response to UV///cellular response to UV///negative regulation of inflammatory response///negative regulation of inflammatory response///negative regulation of proteasomal ubiquitin-dependent protein catabolic process///negative regulation of proteasomal ubiquitin-dependent protein catabolic process///negative regulation of protein phosphorylation///negative regulation of stress-activated MAPK cascade///negative regulation of stress-activated MAPK cascade///protein phosphorylation"	"nucleus///nucleus"	"GO:0005524///GO:0004674///GO:0004674"	"GO:0034644///GO:0034644///GO:0050728///GO:0050728///GO:0032435///GO:0032435///GO:0001933///GO:0032873///GO:0032873///GO:0006468"	"GO:0005634///GO:0005634"	6.84614268993333	-1.56032336653333	-0.298181695533333	2.78017492755556	72.0822729355641	4.26360613584372e-09	2.89635292020135e-05	1.30011570223355	5
140013	"minichromosome maintenance complex component 5"	"Mcm5"	"291885"	"Minichromosome maintenance complex component 5"	"Mcm5"	"Rn.123"	"AMGNNUC:MRBE3-00050-G8-A rat brain E15 (10374) Rattus norvegicus cDNA clone mrbe3-00050-g8 5-, mRNA sequence"	"29801770"	"CB734589"	NA	NA	""	"19p11"	"Chromosome 19, NC_005118.4 (14523495..14561281)"	"ATP binding///DNA helicase activity///DNA replication origin binding///chromatin binding"	"DNA duplex unwinding///DNA replication initiation///cell division"	"MCM complex///MCM complex///membrane///membrane///nuclear chromosome, telomeric region///nuclear chromosome, telomeric region///nucleoplasm///nucleoplasm///nucleus"	"GO:0005524///GO:0003678///GO:0003688///GO:0003682"	"GO:0032508///GO:0006270///GO:0051301"	"GO:0042555///GO:0042555///GO:0016020///GO:0016020///GO:0000784///GO:0000784///GO:0005654///GO:0005654///GO:0005634"	0.883104711666667	-0.251105589866667	-0.0185850426666666	0.452387377277778	55.3225225546742	2.62572944326691e-08	9.90950291888932e-05	0.965025836394378	19
93033	"serpin family F member 1"	"Serpinf1"	"287526"	""	""	""	"Rattus norvegicus serpin family F member 1 (Serpinf1), mRNA"	"31342661"	"NM_177927"	NA	NA	""	"10q24"	"Chromosome 10, NC_005109.4 (62241750..62254145, complement)"	"serine-type endopeptidase inhibitor activity"	"aging///cellular response to cobalt ion///cellular response to dexamethasone stimulus///cellular response to glucose stimulus///cellular response to retinoic acid///kidney development///negative regulation of angiogenesis///negative regulation of angiogenesis///negative regulation of endopeptidase activity///negative regulation of endothelial cell migration///negative regulation of epithelial cell proliferation involved in prostate gland development///negative regulation of epithelial cell proliferation involved in prostate gland development///negative regulation of gene expression///negative regulation of inflammatory response///negative regulation of neuron death///ovulation cycle///positive regulation of neurogenesis///positive regulation of neuron projection development///response to acidic pH///response to arsenic-containing substance///retina development in camera-type eye///short-term memory"	"axon///axon hillock///basement membrane///extracellular exosome///extracellular exosome///colocalizes_with extracellular matrix///extracellular region///extracellular region///extracellular space///extracellular space///neuronal cell body///perinuclear region of cytoplasm"	"GO:0004867"	"GO:0007568///GO:0071279///GO:0071549///GO:0071333///GO:0071300///GO:0001822///GO:0016525///GO:0016525///GO:0010951///GO:0010596///GO:0060770///GO:0060770///GO:0010629///GO:0050728///GO:1901215///GO:0042698///GO:0050769///GO:0010976///GO:0010447///GO:0046685///GO:0060041///GO:0007614"	"GO:0030424///GO:0043203///GO:0005604///GO:0070062///GO:0070062///colocalizes_with GO:0031012///GO:0005576///GO:0005576///GO:0005615///GO:0005615///GO:0043025///GO:0048471"	16.915110484	-6.4827710738	-3.3992302674	10.9006238496667	54.2912827409518	2.98360598653869e-08	0.000101341160938773	0.633901896653647	46
29094	"alpha-2-macroglobulin"	"A2m"	"24153"	""	""	""	"Rattus norvegicus alpha-2-macroglobulin (A2m), mRNA"	"158138550"	"NM_012488"	NA	NA	""	"4q42"	"Chromosome 4, NC_005103.4 (154309426..154359138)"	"brain-derived neurotrophic factor binding///calcium-dependent protein binding///endopeptidase inhibitor activity///endopeptidase inhibitor activity///enzyme binding///growth factor binding///interleukin-1 binding///interleukin-8 binding///nerve growth factor binding///protease binding///protein homodimerization activity///receptor binding///serine-type endopeptidase inhibitor activity///serine-type endopeptidase inhibitor activity///tumor necrosis factor binding"	"acute inflammatory response to antigenic stimulus///acute-phase response///embryonic liver development///luteinization///negative regulation of complement activation, lectin pathway///negative regulation of endopeptidase activity///negative regulation of endopeptidase activity///protein homotetramerization///response to carbon dioxide///response to glucocorticoid///response to nutrient///response to prostaglandin E///response to wounding///stem cell differentiation"	"blood microparticle///extracellular exosome///extracellular space///extracellular space"	"GO:0048403///GO:0048306///GO:0004866///GO:0004866///GO:0019899///GO:0019838///GO:0019966///GO:0019959///GO:0048406///GO:0002020///GO:0042803///GO:0005102///GO:0004867///GO:0004867///GO:0043120"	"GO:0002438///GO:0006953///GO:1990402///GO:0001553///GO:0001869///GO:0010951///GO:0010951///GO:0051289///GO:0010037///GO:0051384///GO:0007584///GO:0034695///GO:0009611///GO:0048863"	"GO:0072562///GO:0070062///GO:0005615///GO:0005615"	26.2539486856667	-12.5895660276667	-13.6932565356667	18.9373878915	51.2638977913956	4.3991782552152e-08	0.000125378417258	0.471297077556054	60
86063	"HAUS augmin-like complex, subunit 4"	"Haus4"	"305882"	"HAUS augmin-like complex, subunit 4"	"Haus4"	"Rn.17621"	"EST205172 Normalized rat muscle, Bento Soares Rattus sp. cDNA clone RMUAQ52 3- end, mRNA sequence"	"3224553"	"AI010721"	NA	NA	""	"15p13"	"Chromosome 15, NC_005114.4 (33182137..33193570, complement)"	""	"centrosome organization///centrosome organization///spindle assembly///spindle assembly"	"HAUS complex///HAUS complex///centrosome"	""	"GO:0051297///GO:0051297///GO:0051225///GO:0051225"	"GO:0070652///GO:0070652///GO:0005813"	2.03174677113333	0.113351984066667	1.06599312966667	3.85775497683333	49.3201513150793	5.70777547641197e-08	0.000125378417258	-0.925040912800397	21
34085	"centromere protein W"	"Cenpw"	"689399"	"Centromere protein W"	"Cenpw"	"Rn.51"	"UI-R-EP0-coa-b-02-0-UI.s1 UI-R-EP0 Rattus norvegicus cDNA clone UI-R-EP0-coa-b-02-0-UI 3-, mRNA sequence"	"20424663"	"BQ208198"	NA	NA	""	"1p11"	"Chromosome 1, NC_005100.4 (29915443..29920598)"	"DNA binding///protein heterodimerization activity"	"cell division///chromosome organization///chromosome organization///chromosome segregation///chromosome segregation///kinetochore assembly///kinetochore assembly///mitotic cell cycle///mitotic cell cycle///mitotic nuclear division"	"chromosome, centromeric region///chromosome, centromeric region///condensed chromosome kinetochore///kinetochore///kinetochore///nucleus"	"GO:0003677///GO:0046982"	"GO:0051301///GO:0051276///GO:0051276///GO:0007059///GO:0007059///GO:0051382///GO:0051382///GO:0000278///GO:0000278///GO:0007067"	"GO:0000775///GO:0000775///GO:0000777///GO:0000776///GO:0000776///GO:0005634"	1.61280262206667	-0.412825946866667	-0.0103415758666666	0.964725259777778	47.6156075574347	7.22780229221104e-08	0.000125378417258	0.741379842786954	38
229077	"cyclin B1"	"Ccnb1"	"25203"	""	""	""	"Rattus norvegicus cyclin B1 (Ccnb1), mRNA"	"694875687"	"NM_171991"	NA	NA	""	"2q12"	"Chromosome 2, NC_005101.4 (30783916..30791100, complement)"	"contributes_to histone kinase activity///kinase activity///patched binding///patched binding///protein complex binding///protein kinase binding///protein kinase binding"	"cell division///cellular response to fatty acid///cellular response to hypoxia///cellular response to iron(III) ion///cellular response to organic cyclic compound///digestive tract development///histone H3-S10 phosphorylation involved in chromosome condensation///histone H3-S10 phosphorylation involved in chromosome condensation///in utero embryonic development///in utero embryonic development///mitotic cell cycle///mitotic metaphase plate congression///mitotic metaphase plate congression///mitotic spindle organization///negative regulation of gene expression///negative regulation of protein phosphorylation///oocyte maturation///positive regulation of attachment of spindle microtubules to kinetochore///positive regulation of attachment of spindle microtubules to kinetochore///positive regulation of cardiac muscle cell proliferation///positive regulation of cell cycle///positive regulation of fibroblast proliferation///positive regulation of fibroblast proliferation///positive regulation of histone phosphorylation///positive regulation of mRNA 3'-end processing///positive regulation of mitotic cell cycle///positive regulation of mitotic cell cycle///protein complex assembly///protein phosphorylation///regulation of cell cycle///regulation of chromosome condensation///regulation of mitotic cell cycle spindle assembly checkpoint///regulation of mitotic cell cycle spindle assembly checkpoint///response to DDT///response to drug///response to mechanical stimulus///response to toxic substance///spermatogenesis///tissue regeneration///ventricular cardiac muscle cell development"	"centrosome///centrosome///condensed nuclear chromosome outer kinetochore///condensed nuclear chromosome outer kinetochore///cytoplasm///cytoplasm///membrane///membrane///nucleus///nucleus///spindle pole///spindle pole"	"contributes_to GO:0035173///GO:0016301///GO:0005113///GO:0005113///GO:0032403///GO:0019901///GO:0019901"	"GO:0051301///GO:0071398///GO:0071456///GO:0071283///GO:0071407///GO:0048565///GO:2000775///GO:2000775///GO:0001701///GO:0001701///GO:0000278///GO:0007080///GO:0007080///GO:0007052///GO:0010629///GO:0001933///GO:0001556///GO:0051987///GO:0051987///GO:0060045///GO:0045787///GO:0048146///GO:0048146///GO:0033129///GO:0031442///GO:0045931///GO:0045931///GO:0006461///GO:0006468///GO:0051726///GO:0060623///GO:0090266///GO:0090266///GO:0046680///GO:0042493///GO:0009612///GO:0009636///GO:0007283///GO:0042246///GO:0055015"	"GO:0005813///GO:0005813///GO:0000942///GO:0000942///GO:0005737///GO:0005737///GO:0016020///GO:0016020///GO:0005634///GO:0005634///GO:0000922///GO:0000922"	1.09074530393333	0.100085895266667	0.250284314266667	1.31765853111111	46.7690042451514	8.15021150283895e-08	0.000125378417258	-0.272662284515611	72
169043	"dCTP pyrophosphatase 1///dCTP pyrophosphatase 1"	"Dctpp1///Dctpp1"	"192252///192252"	"DCTP pyrophosphatase 1"	"Dctpp1"	"Rn.8733"	"Rattus norvegicus dCTP pyrophosphatase 1 (Dctpp1), mRNA///UI-R-BJ2-bon-e-01-0-UI.s1 UI-R-BJ2 Rattus norvegicus cDNA clone UI-R-BJ2-bon-e-01-0-UI 3-, mRNA sequence"	"20302078///11402178"	"NM_138892///BF414189"	NA	NA	""	"1q36///1q36"	"Chromosome 1, NC_005100.4 (198703459..198706852, complement)///Chromosome 1, NC_005100.4 (198703459..198706852, complement)"	"dCTP diphosphatase activity///identical protein binding///identical protein binding///magnesium ion binding///magnesium ion binding///nucleoside-triphosphate diphosphatase activity///nucleoside-triphosphate diphosphatase activity///pyrimidine deoxyribonucleotide binding///pyrimidine deoxyribonucleotide binding///pyrophosphatase activity///dCTP diphosphatase activity///identical protein binding///identical protein binding///magnesium ion binding///magnesium ion binding///nucleoside-triphosphate diphosphatase activity///nucleoside-triphosphate diphosphatase activity///pyrimidine deoxyribonucleotide binding///pyrimidine deoxyribonucleotide binding///pyrophosphatase activity"	"nucleoside triphosphate catabolic process///nucleoside triphosphate catabolic process///protein homotetramerization///protein homotetramerization///nucleoside triphosphate catabolic process///nucleoside triphosphate catabolic process///protein homotetramerization///protein homotetramerization"	"cytosol///cytosol///cytosol///cytosol"	"GO:0047840///GO:0042802///GO:0042802///GO:0000287///GO:0000287///GO:0047429///GO:0047429///GO:0032556///GO:0032556///GO:0016462///GO:0047840///GO:0042802///GO:0042802///GO:0000287///GO:0000287///GO:0047429///GO:0047429///GO:0032556///GO:0032556///GO:0016462"	"GO:0009143///GO:0009143///GO:0051289///GO:0051289///GO:0009143///GO:0009143///GO:0051289///GO:0051289"	"GO:0005829///GO:0005829///GO:0005829///GO:0005829"	1.2108796104	0.290795898600001	0.652701318600001	3.654298684	46.7394602631991	8.18473223572832e-08	0.000125378417258	-1.59353912270709	3
56049	"vimentin"	"Vim"	"81818"	""	""	""	"Rattus norvegicus vimentin (Vim), mRNA"	"14389298"	"NM_031140"	NA	NA	""	"17q12.3"	"Chromosome 17, NC_005116.4 (80882715..80891200)"	"double-stranded RNA binding///double-stranded RNA binding///glycoprotein binding///glycoprotein binding///identical protein binding///identical protein binding///keratin filament binding///keratin filament binding///kinase binding///protein C-terminus binding///protein C-terminus binding///protein binding///protein kinase binding///protein phosphatase 2A binding///scaffold protein binding///scaffold protein binding///structural constituent of cytoskeleton///structural constituent of cytoskeleton///structural constituent of cytoskeleton///structural constituent of eye lens///structural constituent of eye lens///structural molecule activity///structural molecule activity"	"Bergmann glial cell differentiation///Bergmann glial cell differentiation///SMAD protein signal transduction///SMAD protein signal transduction///aging///astrocyte development///astrocyte development///cellular response to fibroblast growth factor stimulus///cytoskeleton organization///decidualization///fat cell differentiation///intermediate filament organization///intermediate filament organization///intermediate filament-based process///lens fiber cell development///lens fiber cell development///negative regulation of neuron projection development///negative regulation of neuron projection development///positive regulation of gene expression///positive regulation of gene expression///positive regulation of glial cell proliferation///regulation of Schwann cell migration///regulation of axonogenesis///response to estradiol///response to radiation///response to selenium ion///response to vitamin D///response to zinc ion///skeletal muscle tissue regeneration"	"axon///cell body///cell leading edge///cell leading edge///cell projection///cell projection///cytoplasm///cytoplasm///cytoplasm///cytoskeleton///cytoskeleton///cytosol///cytosol///cytosol///extracellular exosome///extracellular exosome///focal adhesion///focal adhesion///intermediate filament///intermediate filament///intermediate filament///intermediate filament cytoskeleton///neuron projection///neuron projection///nuclear matrix///perinuclear region of cytoplasm///peroxisome///peroxisome///plasma membrane///plasma membrane///colocalizes_with plasma membrane///type III intermediate filament"	"GO:0003725///GO:0003725///GO:0001948///GO:0001948///GO:0042802///GO:0042802///GO:1990254///GO:1990254///GO:0019900///GO:0008022///GO:0008022///GO:0005515///GO:0019901///GO:0051721///GO:0097110///GO:0097110///GO:0005200///GO:0005200///GO:0005200///GO:0005212///GO:0005212///GO:0005198///GO:0005198"	"GO:0060020///GO:0060020///GO:0060395///GO:0060395///GO:0007568///GO:0014002///GO:0014002///GO:0044344///GO:0007010///GO:0046697///GO:0045444///GO:0045109///GO:0045109///GO:0045103///GO:0070307///GO:0070307///GO:0010977///GO:0010977///GO:0010628///GO:0010628///GO:0060252///GO:1900147///GO:0050770///GO:0032355///GO:0009314///GO:0010269///GO:0033280///GO:0010043///GO:0043403"	"GO:0030424///GO:0044297///GO:0031252///GO:0031252///GO:0042995///GO:0042995///GO:0005737///GO:0005737///GO:0005737///GO:0005856///GO:0005856///GO:0005829///GO:0005829///GO:0005829///GO:0070062///GO:0070062///GO:0005925///GO:0005925///GO:0005882///GO:0005882///GO:0005882///GO:0045111///GO:0043005///GO:0043005///GO:0016363///GO:0048471///GO:0005777///GO:0005777///GO:0005886///GO:0005886///colocalizes_with GO:0005886///GO:0045098"	84.1874945246666	-27.0754818506667	-22.3569197386667	52.5861133827778	46.2962445981417	8.72303559033358e-08	0.000125378417258	0.678924074962426	43
188097	"pituitary tumor-transforming 1"	"Pttg1"	"64193"	""	""	""	"Rattus norvegicus pituitary tumor-transforming 1 (Pttg1), mRNA"	"148225060"	"NM_022391"	NA	NA	""	"10q21"	"Chromosome 10, NC_005109.4 (29014367..29026088, complement)"	"SH3 domain binding///cysteine-type endopeptidase inhibitor activity///cysteine-type endopeptidase inhibitor activity///heat shock protein binding///peptidase inhibitor activity///protein binding///ribosome binding"	"DNA repair///cell division///chromosome organization///chromosome segregation///homologous chromosome segregation///homologous chromosome segregation///homologous chromosome segregation///mitotic nuclear division///negative regulation of cell proliferation///negative regulation of endopeptidase activity///regulation of cell growth///regulation of transcription, DNA-templated"	"cytoplasm///nucleus///nucleus"	"GO:0017124///GO:0004869///GO:0004869///GO:0031072///GO:0030414///GO:0005515///GO:0043022"	"GO:0006281///GO:0051301///GO:0051276///GO:0007059///GO:0045143///GO:0045143///GO:0045143///GO:0007067///GO:0008285///GO:0010951///GO:0001558///GO:0006355"	"GO:0005737///GO:0005634///GO:0005634"	2.8026991358	-0.5797879714	-0.1337176418	1.39504771938889	44.7445102462071	1.09502971770041e-07	0.000146370114391896	1.00650241010283	15
